Player,Team,Opponent,FD Position,FD Salary,FD Projection,FD Value,FD Ownership,FDSlateID,FD Ceiling
Cleveland Browns,CLE,CAR,D,4300,7.6,1.1,3.7,78867-12529,12.6
San Francisco 49ers,SF,CHI,D,5000,9,1.1,7.1,78867-12549,14.6
Baker Mayfield,CAR,CLE,QB,6600,15.4,1,0.5,78867-41535,21.2
Jacoby Brissett,CLE,CAR,QB,6300,14.5,1,0.5,78867-30231,21.4
Trevor Lawrence,JAX,WAS,QB,7000,16.6,1,1.2,78867-89951,21.5
New York Jets,NYJ,BAL,D,3300,5.6,1,7.9,78867-12544,9.8
JuJu Smith-Schuster,KC,ARI,WR,6400,11.5,0.9,5.5,78867-55987,17.9
Miles Sanders,PHI,DET,RB,6500,11.7,0.9,1.9,78867-71845,17.4
Brandon Aiyuk,SF,CHI,WR,5600,10,0.9,7.8,78867-85798,14.9
Cincinnati Bengals,CIN,PIT,D,4400,7.6,0.9,6.3,78867-12528,12.6
Miami Dolphins,MIA,NE,D,3800,6.4,0.9,5.3,78867-12539,11
Tennessee Titans,TEN,NYG,D,4600,8,0.9,2.6,78867-12534,13.2
Keenan Allen,LAC,LV,WR,7400,13.4,0.8,7.1,78867-29253,19.7
Jacksonville Jaguars,JAX,WAS,D,3600,6,0.8,2.4,78867-12554,10.3
David Montgomery,CHI,SF,RB,6600,11.8,0.7,8.3,78867-73273,16.5
Darnell Mooney,CHI,SF,WR,6200,11,0.7,6.9,78867-69777,14.6
AJ Dillon,GB,MIN,RB,6100,10.8,0.7,6.2,78867-93107,15.6
Matt Ryan,IND,HOU,QB,6900,16.1,0.7,1.4,78867-6616,22.5
Travis Kelce,KC,ARI,TE,8000,14.5,0.7,13.1,78867-33076,21.9
Davante Adams,LV,LAC,WR,8500,15.5,0.7,13.6,78867-45889,22.1
Adam Thielen,MIN,GB,WR,6100,10.8,0.7,14.4,78867-39716,15.8
Chris Olave,NO,ATL,WR,5000,8.6,0.7,5.7,78867-87770,13.5
Elijah Moore,NYJ,BAL,WR,6000,10.6,0.7,10.4,78867-88575,14.6
New York Giants,NYG,TEN,D,3400,5.4,0.7,4.7,78867-12543,9.6
Kyle Pitts,ATL,NO,TE,6000,10.5,0.6,21.8,78867-86080,14.6
Randall Cobb,GB,MIN,WR,5100,8.7,0.6,1.4,78867-14257,13.4
Michael Thomas,NO,ATL,WR,6200,10.9,0.6,10.3,78867-28573,16.1
Najee Harris,PIT,CIN,RB,8200,14.9,0.6,7.9,78867-90575,20.3
Hunter Renfrow,LV,LAC,WR,5900,10.2,0.5,9.2,78867-57986,15.1
Robert Woods,TEN,NYG,WR,5600,9.6,0.5,7.6,78867-29685,14.3
Detroit Lions,DET,PHI,D,3100,4.6,0.5,4.7,78867-12532,8.5
Indianapolis Colts,IND,HOU,D,4500,7.4,0.5,5.7,78867-12535,12.3
Kansas City Chiefs,KC,ARI,D,3700,5.8,0.5,4.4,78867-12536,10.2
Davis Mills,HOU,IND,QB,6500,14.5,0.4,0.5,78867-89628,18.2
New Orleans Saints,NO,ATL,D,4900,8.2,0.4,2.3,78867-12542,13.4
Rashod Bateman,BAL,NYJ,WR,6100,10.4,0.3,8.1,78867-85845,15.6
Justin Fields,CHI,SF,QB,6900,15.6,0.3,0.7,78867-91591,21.3
Michael Carter,NYJ,BAL,RB,5200,8.6,0.3,4.4,78867-93539,13
Minnesota Vikings,MIN,GB,D,3200,4.7,0.3,3.1,78867-12540,8.6
Mecole Hardman,KC,ARI,WR,5400,8.9,0.2,0.9,78867-71352,14.8
Daniel Jones,NYG,TEN,QB,7100,16.1,0.2,0.5,78867-63519,21
A.J. Brown,PHI,DET,WR,7100,12.3,0.2,8.2,78867-72846,18.6
Austin Ekeler,LAC,LV,RB,9400,16.7,0.1,6.9,78867-80001,24.2
Dallas Goedert,PHI,DET,TE,5700,9.4,0.1,10.4,78867-83074,14.8
Eli Mitchell,SF,CHI,RB,6700,11.4,0.1,2.8,78867-92413,16.2
Ryan Tannehill,TEN,NYG,QB,7100,16,0.1,0.6,78867-21948,22.7
Las Vegas Raiders,LV,LAC,D,3000,4.1,0.1,4.3,78867-12537,7.7
Cordarrelle Patterson,ATL,NO,RB,6600,11.1,0,0.5,78867-30733,16
Robbie Anderson,CAR,CLE,WR,5300,8.5,0,0.5,78867-26251,12.7
Amon-Ra St. Brown,DET,PHI,WR,6500,10.9,0,9.3,78867-86997,15.3
Marquez Valdes-Scantling,KC,ARI,WR,5500,8.9,0,1.2,78867-40647,15.2
Joshua Palmer,LAC,LV,WR,4900,7.7,0,0.9,78867-87418,13
DeVonta Smith,PHI,DET,WR,6100,10.1,0,2.2,78867-90576,15.7
Diontae Johnson,PIT,CIN,WR,6700,11.2,0,7.1,78867-66008,15.1
Chicago Bears,CHI,SF,D,3800,5.6,0,0.5,78867-12527,9.8
Mike Davis,BAL,NYJ,RB,5600,9,-0.1,0.5,78867-30635,13.7
Mark Andrews,BAL,NYJ,TE,7900,13.5,-0.1,9.9,78867-52436,20
DJ Chark Jr.,DET,PHI,WR,5300,8.4,-0.1,1.7,78867-52917,12.7
Sammy Watkins,GB,MIN,WR,5500,8.8,-0.1,0.7,78867-24641,13.5
Josh Jacobs,LV,LAC,RB,7000,11.7,-0.1,1.4,78867-72731,17.3
Rhamondre Stevenson,NE,MIA,RB,5600,9,-0.1,6,78867-111540,13.1
Wan'Dale Robinson,NYG,TEN,WR,4700,7.2,-0.1,0.9,78867-103539,10.5
Chase Claypool,PIT,CIN,WR,5800,9.4,-0.1,0.9,78867-73111,13.2
Jahan Dotson,WAS,JAX,WR,4900,7.7,-0.1,4.1,78867-86229,11.9
Baltimore Ravens,BAL,NYJ,D,4800,7.4,-0.1,2.1,78867-12555,12.4
A.J. Green,ARI,KC,WR,5700,9.1,-0.2,0.6,78867-14187,13.8
Corey Davis,NYJ,BAL,WR,5400,8.5,-0.2,0.8,78867-45439,12.1
George Pickens,PIT,CIN,WR,5200,8.1,-0.2,1.9,78867-110246,11.6
Terry McLaurin,WAS,JAX,WR,7000,11.7,-0.2,6.1,78867-56250,17
New England Patriots,NE,MIA,D,3900,5.6,-0.2,0.7,78867-12541,9.8
Michael Pittman Jr.,IND,HOU,WR,7200,11.8,-0.4,8.8,78867-69213,17.6
Mac Jones,NE,MIA,QB,6600,14.1,-0.4,0.8,78867-90584,18.8
Jakobi Meyers,NE,MIA,WR,5500,8.5,-0.4,5.2,78867-63634,12.2
Green Bay Packers,GB,MIN,D,4200,6,-0.4,1.1,78867-12533,10.3
Drake London,ATL,NO,WR,5500,8.4,-0.5,6.9,78867-112745,11.8
Tyler Boyd,CIN,PIT,WR,5700,8.8,-0.5,0.7,78867-40669,13.6
Los Angeles Chargers,LAC,LV,D,4000,5.4,-0.5,1.1,78867-12548,9.6
Romeo Doubs,GB,MIN,WR,5000,7.3,-0.6,0.8,78867-94370,11.8
Parris Campbell,IND,HOU,WR,5200,7.7,-0.6,0.5,78867-56262,12.7
Houston Texans,HOU,IND,D,3300,4,-0.6,2,78867-12556,7.6
Philadelphia Eagles,PHI,DET,D,4100,5.6,-0.6,0.9,78867-12545,9.8
Cole Kmet,CHI,SF,TE,5000,7.2,-0.7,2.7,78867-91047,9.8
T.J. Hockenson,DET,PHI,TE,5700,8.6,-0.7,13.9,78867-71706,12.7
Nico Collins,HOU,IND,WR,5200,7.6,-0.7,0.6,78867-91419,11.1
Raheem Mostert,MIA,NE,RB,5500,8.2,-0.7,0.5,78867-28744,13
Nyheim Hines,IND,HOU,RB,5400,7.9,-0.8,0.5,78867-63625,12.7
Gerald Everett,LAC,LV,TE,5200,7.5,-0.8,1.6,78867-57299,12.5
Irv Smith Jr.,MIN,GB,TE,5100,7.4,-0.8,3.7,78867-72725,11.4
Damien Harris,NE,MIA,RB,6300,9.7,-0.8,2.5,78867-64576,14
Kadarius Toney,NYG,TEN,WR,5300,7.7,-0.8,6.4,78867-86052,10.9
J.D. McKissic,WAS,JAX,RB,5200,7.5,-0.8,1.8,78867-43334,12.3
Mo Alie-Cox,IND,HOU,TE,4800,6.6,-0.9,1.3,78867-24533,11.3
Marvin Jones Jr.,JAX,WAS,WR,5500,8,-0.9,0.8,78867-22103,11.9
Jaylen Waddle,MIA,NE,WR,6800,10.6,-0.9,3.1,78867-90573,15.5
K.J. Osborn,MIN,GB,WR,5200,7.4,-0.9,0.5,78867-63855,11.5
Zach Ertz,ARI,KC,TE,5600,8.1,-1,8.3,78867-29780,12.3
Nick Chubb,CLE,CAR,RB,7800,12.4,-1.1,4.3,78867-53562,17.4
Carolina Panthers,CAR,CLE,D,4700,6.3,-1.1,0.5,78867-12553,10.8
Darren Waller,LV,LAC,TE,7000,10.7,-1.2,2.9,78867-25011,15.8
Tyreek Hill,MIA,NE,WR,7700,12,-1.2,6.4,78867-53681,17.6
Braxton Berrios,NYJ,BAL,WR,4700,6.1,-1.2,0.5,78867-52495,8.9
Kenneth Gainwell,PHI,DET,RB,5300,7.3,-1.2,0.5,78867-90912,12
Nick Westbrook-Ikhine,TEN,NYG,WR,5100,6.9,-1.2,0.5,78867-64389,11.3
Curtis Samuel,WAS,JAX,WR,5100,6.9,-1.2,0.5,78867-52613,11
Rex Burkhead,HOU,IND,RB,5100,6.8,-1.3,0.5,78867-27338,11.2
Zay Jones,JAX,WAS,WR,5100,6.8,-1.3,0.5,78867-41305,10.2
Damien Williams,ATL,NO,RB,5300,7.1,-1.4,0.5,78867-27441,10.6
Isaiah Likely,BAL,NYJ,TE,4100,4.7,-1.4,1.2,78867-87260,8.8
Amari Cooper,CLE,CAR,WR,6300,9.1,-1.4,1.2,78867-31001,12.9
Jamaal Williams,DET,PHI,RB,5700,7.8,-1.4,0.5,78867-45631,12.4
Pat Freiermuth,PIT,CIN,TE,5300,7.1,-1.4,2.2,78867-86244,10.2
David Njoku,CLE,CAR,TE,5000,6.4,-1.5,1.4,78867-55335,9.7
Alec Pierce,IND,HOU,WR,4900,6.1,-1.6,0.5,78867-86312,10.7
Evan Engram,JAX,WAS,TE,4900,6.2,-1.6,0.8,78867-41872,9.3
Breece Hall,NYJ,BAL,RB,6400,9,-1.6,0.5,78867-103064,13.7
Austin Hooper,TEN,NYG,TE,4900,6,-1.7,0.9,78867-40126,9.9
Daniel Bellinger,NYG,TEN,TE,4100,4.4,-1.8,0.6,78867-90307,6.9
Kenyan Drake,BAL,NYJ,RB,5700,7.3,-1.9,0.5,78867-30989,11.8
Kareem Hunt,CLE,CAR,RB,6300,8.6,-1.9,0.5,78867-45229,12.7
Robert Tonyan,GB,MIN,TE,5100,6.2,-1.9,0.7,78867-80353,10.5
Arizona Cardinals,ARI,KC,D,3500,3.1,-1.9,0,78867-12546,6.4
Hayden Hurst,CIN,PIT,TE,4900,5.7,-2,1.8,78867-64031,9.9
Brevin Jordan,HOU,IND,TE,4800,5.5,-2,0.5,78867-94094,8.4
Kenny Golladay,NYG,TEN,WR,5600,7.1,-2,0.5,78867-54244,10.6
Cedrick Wilson Jr.,MIA,NE,WR,5100,6,-2.1,0.5,78867-69581,10.2
Deebo Samuel,SF,CHI,WR,8400,12.5,-2.1,0.7,78867-56018,18.1
John Bates,WAS,JAX,TE,4700,5.2,-2.1,0.5,78867-72705,8.8
Jarvis Landry,NO,ATL,WR,5700,7.1,-2.2,0.5,78867-31394,11.3
Devin Duvernay,BAL,NYJ,WR,5000,5.6,-2.3,0.5,78867-71032,9.7
Hunter Henry,NE,MIA,TE,5400,6.4,-2.3,1.1,78867-40845,9.9
Mark Ingram II,NO,ATL,RB,5500,6.4,-2.5,0.5,78867-14211,10.6
Ameer Abdullah,LV,LAC,RB,4500,4.3,-2.6,0.5,78867-27229,7.9
Jonnu Smith,NE,MIA,TE,4700,4.7,-2.6,0.5,78867-48116,7.9
Donovan Peoples-Jones,CLE,CAR,WR,5400,6,-2.7,0.5,78867-91426,9.5
DeVante Parker,NE,MIA,WR,5700,6.6,-2.7,0.5,78867-33260,10.2
Rashard Higgins,CAR,CLE,WR,4700,4.5,-2.8,0.5,78867-45791,7.6
Skyy Moore,KC,ARI,WR,4600,4.3,-2.8,0.5,78867-112062,9.2
Mike Gesicki,MIA,NE,TE,5500,6.1,-2.8,0.9,78867-56265,10.3
Nelson Agholor,NE,MIA,WR,4900,4.9,-2.8,0.5,78867-29683,8.3
Equanimeous St. Brown,CHI,SF,WR,4600,4.2,-2.9,0.5,78867-64841,6.4
Sterling Shepard,NYG,TEN,WR,5500,6,-2.9,0.5,78867-27477,8.8
Pharaoh Brown,HOU,IND,TE,4300,3.4,-3.1,0,78867-29411,5.8
Treylon Burks,TEN,NYG,WR,5900,6.6,-3.1,0.5,78867-110259,11
Josh Reynolds,DET,PHI,WR,5100,4.9,-3.2,0.5,78867-53097,8.3
Christian Watson,GB,MIN,WR,5200,5.1,-3.2,0.5,78867-169776,9.1
Bryan Edwards,ATL,NO,WR,5100,4.8,-3.3,0.5,78867-69276,7.6
Jauan Jennings,SF,CHI,WR,4900,4.4,-3.3,0.5,78867-61593,8.1
Mack Hollins,LV,LAC,WR,4600,3.7,-3.4,0,78867-25267,7.4
Eno Benjamin,ARI,KC,RB,4900,4.3,-3.5,0.5,78867-85762,7.1
Jerick McKinnon,KC,ARI,RB,5200,4.8,-3.5,0.5,78867-54608,8.5
James Proche II,BAL,NYJ,WR,4900,4.1,-3.6,0.5,78867-63186,7.9
Adam Trautman,NO,ATL,TE,4700,3.7,-3.6,0,78867-130270,7.2
Tyler Conklin,NYJ,BAL,TE,5000,4.3,-3.6,0.5,78867-60451,6.8
Greg Dortch,ARI,KC,WR,4900,4,-3.7,0.5,78867-69558,7.5
Kyle Philips,TEN,NYG,WR,4600,3.4,-3.7,0.1,78867-91902,6.9
Ryan Griffin,CHI,SF,TE,4100,2.4,-3.8,0,78867-34073,4.1
Durham Smythe,MIA,NE,TE,4400,2.9,-3.8,0,78867-42046,6.3
Tyler Kroft,SF,CHI,TE,4400,2.9,-3.8,0,78867-26038,6.2
Tommy Tremble,CAR,CLE,TE,4600,3.2,-3.9,0,78867-91101,5.9
Chris Moore,HOU,IND,WR,4800,3.7,-3.9,0,78867-33047,6.2
Dan Arnold,JAX,WAS,TE,4400,2.7,-4,0,78867-80546,5.3
Zamir White,LV,LAC,RB,4900,3.8,-4,0,78867-91578,7.1
Ty Montgomery,NE,MIA,WR,4700,3.4,-4,0,78867-29734,6.1
Kendrick Bourne,NE,MIA,WR,5100,4.1,-4,0.5,78867-80289,7.2
Maxx Williams,ARI,KC,TE,4100,2.1,-4.1,0,78867-28346,5.2
Ian Thomas,CAR,CLE,TE,4200,2.3,-4.1,0,78867-72515,4.8
James Robinson,JAX,WAS,RB,6200,6.2,-4.1,0.5,78867-130288,10.2
Joshua Kelley,LAC,LV,RB,5000,3.8,-4.1,0,78867-91872,7.1
Garrett Wilson,NYJ,BAL,WR,5300,4.4,-4.1,0.5,78867-103564,7
Jonathan Williams,WAS,JAX,RB,4500,2.9,-4.1,0,78867-31184,6
David Bell,CLE,CAR,WR,5000,3.7,-4.2,0,78867-114180,6.5
Harrison Bryant,CLE,CAR,TE,4600,2.9,-4.2,0,78867-70601,5.5
Khalil Herbert,CHI,SF,RB,5300,4.2,-4.3,0.5,78867-72412,7
Brandon Bolden,LV,LAC,RB,4600,2.9,-4.3,0,78867-22898,6
Quez Watkins,PHI,DET,WR,5200,4,-4.3,0.5,78867-73687,8.1
Geoff Swaim,TEN,NYG,TE,4400,2.5,-4.3,0,78867-38523,5.7
Boston Scott,PHI,DET,RB,4900,3.2,-4.5,0,78867-43433,6.6
Dontrell Hilliard,TEN,NYG,RB,5500,4.4,-4.5,0.5,78867-52808,7.8
Tyler Allgeier,ATL,NO,RB,4800,2.9,-4.6,0,78867-90428,5.4
Jamal Agnew,JAX,WAS,WR,4800,3,-4.6,0,78867-79979,5.5
Isiah Pacheco,KC,ARI,RB,4500,2.4,-4.6,0,78867-92575,5.2
Foster Moreau,LV,LAC,TE,4500,2.3,-4.6,0,78867-60712,5.6
C.J. Uzomah,NYJ,BAL,TE,4800,3,-4.6,0,78867-31207,5.1
Olamide Zaccheaus,ATL,NO,WR,5000,3.2,-4.7,0,78867-64496,5.6
D'Onta Foreman,CAR,CLE,RB,4900,2.9,-4.8,0,78867-55830,5.9
Byron Pringle,CHI,SF,WR,5300,3.7,-4.8,0,78867-69295,5.9
Kyle Juszczyk,SF,CHI,RB,4500,2.1,-4.8,0,78867-39428,4.6
Cole Turner,WAS,JAX,TE,4000,1.1,-4.8,0,78867-94345,3.8
Ross Dwelley,SF,CHI,TE,4100,1.2,-4.9,0,78867-83138,4
Andy Isabella,ARI,KC,WR,4700,2.4,-5,0,78867-63419,5.5
Trey McBride,ARI,KC,TE,4200,1.3,-5,0,78867-91750,4.2
KhaDarel Hodge,ATL,NO,WR,4700,2.3,-5,0,78867-85306,4.4
Marcedes Lewis,GB,MIN,TE,4200,1.3,-5,0,78867-6672,4.3
Ashton Dulin,IND,HOU,WR,4700,2.3,-5,0,78867-104012,6
Juwan Johnson,NO,ATL,TE,4200,1.4,-5,0,78867-64808,4.4
Justice Hill,BAL,NYJ,RB,4600,2.1,-5.1,0,78867-71521,4.9
Amari Rodgers,GB,MIN,WR,4600,2,-5.1,0,78867-89970,5.1
Tre' McKitty,LAC,LV,TE,4100,1,-5.1,0,78867-89283,4.6
Samaje Perine,CIN,PIT,RB,5300,3.3,-5.2,0,78867-52451,6.7
Phillip Dorsett II,HOU,IND,WR,4700,2.2,-5.2,0,78867-25813,4.4
Jalen Guyton,LAC,LV,WR,4800,2.3,-5.2,0,78867-64843,6.3
Chris Myarick,NYG,TEN,TE,4100,0.9,-5.2,0,78867-56947,2.7
Jeff Wilson Jr.,SF,CHI,RB,5500,3.7,-5.2,0,78867-55552,6.5
Charlie Woerner,SF,CHI,TE,4200,1.1,-5.2,0,78867-71351,3.9
Kalif Raymond,DET,PHI,WR,4700,2,-5.3,0,78867-70422,4.8
Drew Sample,CIN,PIT,TE,4200,0.9,-5.4,0,78867-56711,4.1
Kylen Granson,IND,HOU,TE,4400,1.4,-5.4,0,78867-71143,4.8
David Sills V,NYG,TEN,WR,4600,1.7,-5.4,0,78867-61555,3.7
Cam Sims,WAS,JAX,WR,4600,1.7,-5.4,0,78867-54472,4.6
Mike Thomas,CIN,PIT,WR,4700,1.8,-5.5,0,78867-55694,5.2
James O'Shaughnessy,CHI,SF,TE,4300,0.9,-5.6,0,78867-62508,2.4
Sony Michel,LAC,LV,RB,5000,2.3,-5.6,0,78867-53640,5.3
Gunner Olszewski,PIT,CIN,WR,4500,1.4,-5.6,0,78867-104577,3.3
Dante Pettis,CHI,SF,WR,4600,1.4,-5.7,0,78867-56698,3
Jelani Woods,IND,HOU,TE,4100,0.5,-5.7,0,78867-87469,3.7
Jack Stoll,PHI,DET,TE,4300,0.9,-5.7,0,78867-69451,4.2
Anthony Schwartz,CLE,CAR,WR,4800,1.7,-5.8,0,78867-87662,4.1
Noah Gray,KC,ARI,TE,4200,0.5,-5.8,0,78867-93143,4.4
Nick Boyle,BAL,NYJ,TE,4100,0.2,-5.9,0,78867-62510,3.2
Laviska Shenault Jr.,CAR,CLE,WR,5000,2,-5.9,0,78867-87859,4.4
Josiah Deguara,GB,MIN,TE,4500,1.1,-5.9,0,78867-61112,4
Jody Fortson,KC,ARI,TE,4300,0.6,-5.9,0,78867-104447,4.5
Johnny Mundt,MIN,GB,TE,4200,0.5,-5.9,0,78867-40371,3
Jaylen Warren,PIT,CIN,RB,4500,1,-5.9,0,78867-112057,3
Damiere Byrd,ATL,NO,WR,4800,1.5,-6,0,78867-30678,3.5
Brock Wright,DET,PHI,TE,4500,1,-6,0,78867-91046,3.4
C.J. Ham,MIN,GB,RB,4500,1,-6,0,78867-70501,3.1
Antonio Williams,NYG,TEN,RB,4700,1.3,-6,0,78867-68694,3.7
Zach Gentry,PIT,CIN,TE,4700,1.3,-6,0,78867-64221,3.2
Danny Gray,SF,CHI,WR,4600,1.1,-6,0,78867-136970,3.9
Demetric Felton,CLE,CAR,WR,4600,1,-6.1,0,78867-70282,3.1
Antony Auclair,HOU,IND,TE,4200,0.2,-6.1,0,78867-80011,2
Chris Manhertz,JAX,WAS,TE,4200,0.2,-6.1,0,78867-18009,2.3
DeAndre Carter,LAC,LV,WR,4700,1.2,-6.1,0,78867-62628,4.9
Marquez Callaway,NO,ATL,WR,4900,1.6,-6.1,0,78867-71246,4.7
Nick Vannett,NO,ATL,TE,4300,0.5,-6.1,0,78867-28570,3.3
Dare Ogunbowale,HOU,IND,RB,4600,1,-6.2,0,78867-28827,3.7
Tylan Wallace,BAL,NYJ,WR,4600,0.9,-6.3,0,78867-87515,4
Ronald Jones II,KC,ARI,RB,5500,2.6,-6.3,0,78867-63591,5.6
Tyron Johnson,LV,LAC,WR,4500,0.6,-6.3,0,78867-60705,3.5
Salvon Ahmed,MIA,NE,RB,4500,0.6,-6.3,0,78867-86780,3.3
Terrace Marshall Jr.,CAR,CLE,WR,5000,1.5,-6.4,0,78867-85672,3.8
Jalen Reagor,MIN,GB,WR,4800,1.1,-6.4,0,78867-94625,3.7
Trestan Ebner,CHI,SF,RB,4600,0.6,-6.5,0,78867-89209,2.5
Zach Pascal,PHI,DET,WR,4900,1.2,-6.5,0,78867-53390,4.7
Ray-Ray McCloud III,SF,CHI,WR,4700,0.8,-6.5,0,78867-62055,3.5
Samori Toure,GB,MIN,WR,4500,0.3,-6.6,0,78867-152631,3
Deon Jackson,IND,HOU,RB,4500,0.3,-6.6,0,78867-93134,2.8
Kene Nwangwu,MIN,GB,RB,4600,0.5,-6.6,0,78867-73247,2.5
Jalen Nailor,MIN,GB,WR,4600,0.5,-6.6,0,78867-92859,3
Hassan Haskins,TEN,NYG,RB,4900,1.1,-6.6,0,78867-91361,3.4
Chris Evans,CIN,PIT,RB,4900,1,-6.7,0,78867-73130,3.7
Trent Sherfield,MIA,NE,WR,4600,0.4,-6.7,0,78867-56059,3.3
Deonte Harty,NO,ATL,WR,4700,0.7,-6.7,0,78867-104176,3.5
Darrel Williams,ARI,KC,RB,5400,1.9,-6.8,0,78867-52897,4.1
Patrick Ricard,BAL,NYJ,RB,4500,0.1,-6.8,0,78867-80299,2.4
Demarcus Robinson,BAL,NYJ,WR,4900,1,-6.8,0,78867-38264,4.1
Myles Gaskin,MIA,NE,RB,4900,0.9,-6.8,0,78867-60930,3.8
Ty Johnson,NYJ,BAL,RB,4800,0.7,-6.8,0,78867-63050,3
Tyrion Davis-Price,SF,CHI,RB,4900,0.9,-6.8,0,78867-102893,2.9
Snoop Conner,JAX,WAS,RB,4800,0.6,-6.9,0,78867-102729,3.1
Erik Ezukanma,MIA,NE,WR,4600,0.2,-6.9,0,78867-86543,3.1
Quintez Cephus,DET,PHI,WR,4800,0.5,-7,0,78867-71957,2.9
Dax Milne,WAS,JAX,WR,4600,0.1,-7,0,78867-90408,2.6
Craig Reynolds,DET,PHI,RB,4800,0.3,-7.2,0,78867-104424,2.9
Royce Freeman,HOU,IND,RB,5100,0.8,-7.3,0,78867-55970,3.4
Matt Breida,NYG,TEN,RB,5400,1.4,-7.3,0,78867-53303,4
Alexander Mattison,MIN,GB,RB,6000,2.4,-7.5,0,78867-72776,4.9
Benny Snell Jr.,PIT,CIN,RB,5200,0.6,-7.7,0,78867-70889,2.5
Tony Jones Jr.,NO,ATL,RB,5000,0.1,-7.8,0,78867-73121,2.7
D'Ernest Johnson,CLE,CAR,RB,5400,0.8,-7.9,0,78867-57543,2.8
Chuba Hubbard,CAR,CLE,RB,5500,0.9,-8,0,78867-87467,3.4
Taysom Hill,NO,ATL,QB,6200,3.5,-9.7,0,78867-45565,7.1
